"question_number","question","option","is_correct","image_link"
68,"Warum kontrolliert der Staat in Deutschland das Schulwesen?","weil es in den Bundesländern verschiedene Schulen gibt","No",
68,"Warum kontrolliert der Staat in Deutschland das Schulwesen?","weil es nach dem Grundgesetz seine Aufgabe ist","Yes",
69,"Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie heißt die unterste politische Stufe?","Stadträte","No",
69,"Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie heißt die unterste politische Stufe?","Landräte","No",
69,"Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie heißt die unterste politische Stufe?","Gemeinden","Yes",
69,"Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie heißt die unterste politische Stufe?","Bezirksämter","No",
70,"Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben des deutschen Bundespräsidenten / der deutschen Bundespräsidentin?","Gustav Heinemann überreicht Helmut Schmidt die Ernennungsurkunde zum deutschen Bundeskanzler","Er / Sie führt die Regierungsgeschäfte.","No"
70,"Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben des deutschen Bundespräsidenten / der deutschen Bundespräsidentin?","Gustav Heinemann überreicht Helmut Schmidt die Ernennungsurkunde zum deutschen Bundeskanzler","Er / Sie kontrolliert die Regierungspartei.","No"
70,"Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben des deutschen Bundespräsidenten / der deutschen Bundespräsidentin?","Gustav Heinemann überreicht Helmut Schmidt die Ernennungsurkunde zum deutschen Bundeskanzler","Er / Sie wählt die Minister / Ministerinnen aus.","No"
70,"Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben des deutschen Bundespräsidenten / der deutschen Bundespräsidentin?","Gustav Heinemann überreicht Helmut Schmidt die Ernennungsurkunde zum deutschen Bundeskanzler","Er / Sie schlägt den Kanzler / die Kanzlerin zur Wahl vor.","Yes"
71,"Wo hält sich der deutsche Bundeskanzler / die deutsche Bundeskanzlerin am häufigsten auf? Am häufigsten ist er / sie …","in Bonn, weil sich dort das Bundeskanzleramt und der Bundestag befinden.","No",
71,"Wo hält sich der deutsche Bundeskanzler / die deutsche Bundeskanzlerin am häufigsten auf? Am häufigsten ist er / sie …","in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden.","Yes",
71,"Wo hält sich der deutsche Bundeskanzler / die deutsche Bundeskanzlerin am häufigsten auf? Am häufigsten ist er / sie …","auf Schloss Meseberg, dem Gästehaus der Bundesregierung, um Staatsgäste zu empfangen.","No",
71,"Wo hält sich der deutsche Bundeskanzler / die deutsche Bundeskanzlerin am häufigsten auf? Am häufigsten ist er / sie …","auf Schloss Bellevue, dem Amtssitz des Bundespräsidenten / der Bundespräsidentin, um Staatsgäste zu empfangen.","No",
72,"Wie heißt der jetzige Bundeskanzler / die jetzige Bundeskanzlerin von Deutschland?","Gerhard Schröder","No",
72,"Wie heißt der jetzige Bundeskanzler / die jetzige Bundeskanzlerin von Deutschland?","Angela Merkel","No",
72,"Wie heißt der jetzige Bundeskanzler / die jetzige Bundeskanzlerin von Deutschland?","Franziska Giffey","No",
72,"Wie heißt der jetzige Bundeskanzler / die jetzige Bundeskanzlerin von Deutschland?","Olaf Scholz","Yes",
73,"Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit …","CDU/CSU und SPD.","Yes",
73,"Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit …","Die Linke und Bündnis 90/Die Grünen.","No",
73,"Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit …","FDP und SPD.","No",
73,"Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit …","Die Linke und FDP.","No",
74,"Wie heißt das Parlament für ganz Deutschland?","Bundesversammlung","No",
74,"Wie heißt das Parlament für ganz Deutschland?","Volkspkammer","No",
74,"Wie heißt das Parlament für ganz Deutschland?","Bundestag","Yes",
74,"Wie heißt das Parlament für ganz Deutschland?","Bundesgerichtshof","No",
75,"Wie heißt Deutschlands heutiges Staatsoberhaupt?","Bärbel Bas","No",
75,"Wie heißt Deutschlands heutiges Staatsoberhaupt?","Bodo Ramelow","No",
75,"Wie heißt Deutschlands heutiges Staatsoberhaupt?","Joachim Gauck","No",
75,"Wie heißt Deutschlands heutiges Staatsoberhaupt?","Frank-Walter Steinmeier","Yes",
76,"Was bedeutet die Abkürzung CDU in Deutschland?","Christliche Deutsche Union","No",
76,"Was bedeutet die Abkürzung CDU in Deutschland?","Club Deutscher Unternehmer","No",
76,"Was bedeutet die Abkürzung CDU in Deutschland?","Christlicher Deutscher Umweltschutz","No",
76,"Was bedeutet die Abkürzung CDU in Deutschland?","Christlich Demokratische Union","Yes",
77,"Was ist die Bundeswehr?","die deutsche Polizei","No",
77,"Was ist die Bundeswehr?","ein deutscher Hafen","No",
77,"Was ist die Bundeswehr?","eine deutsche Bürgerinitiative","No",
77,"Was ist die Bundeswehr?","die deutsche Armee","Yes",
78,"Was bedeutet die Abkürzung SPD?","Sozialistische Partei Deutschlands","No",
78,"Was bedeutet die Abkürzung SPD?","Sozialpolitische Partei Deutschlands","No",
78,"Was bedeutet die Abkürzung SPD?","Sozialdemokratische Partei Deutschlands","Yes",
78,"Was bedeutet die Abkürzung SPD?","Sozialgerechte Partei Deutschlands","No",
79,"Was bedeutet die Abkürzung FDP in Deutschland?","Friedliche Demonstrative Partei","No",
79,"Was bedeutet die Abkürzung FDP in Deutschland?","Freie Deutschland Partei","No",
79,"Was bedeutet die Abkürzung FDP in Deutschland?","Führende Demokratische Partei","No",
79,"Was bedeutet die Abkürzung FDP in Deutschland?","Freie Demokratische Partei","Yes",
80,"Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?","Oberlandesgericht","No",
80,"Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?","Amtsgericht","No",
80,"Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?","Bundesverfassungsgericht","Yes",
80,"Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?","Verwaltungsgericht","No",
81,"Wer wählt den Bundeskanzler / die Bundeskanzlerin in Deutschland?","der Bundesrat","No",
81,"Wer wählt den Bundeskanzler / die Bundeskanzlerin in Deutschland?","die Bundesversammlung","No",
81,"Wer wählt den Bundeskanzler / die Bundeskanzlerin in Deutschland?","das Volk","No",
81,"Wer wählt den Bundeskanzler / die Bundeskanzlerin in Deutschland?","der Bundestag","Yes",
82,"Wer leitet das deutsche Bundeskabinett?","der Bundestagspräsident / die Bundestagspräsidentin","No",
82,"Wer leitet das deutsche Bundeskabinett?","der Bundespräsident / die Bundespräsidentin","No",
82,"Wer leitet das deutsche Bundeskabinett?","der Bundeskanzler / die Bundeskanzlerin","Yes",
82,"Wer leitet das deutsche Bundeskabinett?","der Bundesratspräsident / die Bundesratspräsidentin","No",
83,"Wer wählt den deutschen Bundeskanzler / die deutsche Bundeskanzlerin?","das Volk","No",
83,"Wer wählt den deutschen Bundeskanzler / die deutsche Bundeskanzlerin?","die Bundesversammlung","No",
83,"Wer wählt den deutschen Bundeskanzler / die deutsche Bundeskanzlerin?","der Bundestag","Yes",
83,"Wer wählt den deutschen Bundeskanzler / die deutsche Bundeskanzlerin?","die Bundesregierung","No",
84,"Welche Hauptaufgabe hat der deutsche Bundespräsident / die deutsche Bundespräsidentin? Er / Sie …","regiert das Land.","No",
84,"Welche Hauptaufgabe hat der deutsche Bundespräsident / die deutsche Bundespräsidentin? Er / Sie …","entwirft die Gesetze.","No",
84,"Welche Hauptaufgabe hat der deutsche Bundespräsident / die deutsche Bundespräsidentin? Er / Sie …","repräsentiert das Land.","Yes",
84,"Welche Hauptaufgabe hat der deutsche Bundespräsident / die deutsche Bundespräsidentin? Er / Sie …","überwacht die Einhaltung der Gesetze.","No",
85,"Wer bildet den deutschen Bundesrat?","die Abgeordneten des Bundestages","No",
85,"Wer bildet den deutschen Bundesrat?","die Minister und Ministerinnen der Bundesregierung","No",
85,"Wer bildet den deutschen Bundesrat?","die Regierungsvertreter der Bundesländer","Yes",
85,"Wer bildet den deutschen Bundesrat?","die Parteimitglieder","No",
86,"Wer wählt in Deutschland den Bundespräsidenten / die Bundespräsidentin?","die Bundesversammlung","Yes",
86,"Wer wählt in Deutschland den Bundespräsidenten / die Bundespräsidentin?","der Bundesrat","No",
86,"Wer wählt in Deutschland den Bundespräsidenten / die Bundespräsidentin?","das Bundesparlament","No",
86,"Wer wählt in Deutschland den Bundespräsidenten / die Bundespräsidentin?","das Bundesverfassungsgericht","No",
87,"Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?","der Bundeskanzler / die Bundeskanzlerin","No",
87,"Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?","der Bundespräsident / die Bundespräsidentin","Yes",
87,"Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?","der Bundesratspräsident / die Bundesratspräsidentin","No",
87,"Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?","der Bundestagspräsident / die Bundestagspräsidentin","No",
88,"Die parlamentarische Opposition im Deutschen Bundestag …","kontrolliert die Regierung.","Yes",
88,"Die parlamentarische Opposition im Deutschen Bundestag …","entscheidet, wer Bundesminister / Bundesministerin wird.","No",
88,"Die parlamentarische Opposition im Deutschen Bundestag …","bestimmt, wer im Bundesrat sitzt.","No",
88,"Die parlamentarische Opposition im Deutschen Bundestag …","schlägt die Regierungschefs / Regierungschefinnen der Länder vor.","No",
89,"Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?","Verdand","No",
89,"Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?","Ältestenrat","No",
89,"Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?","Fraktion","Yes",
89,"Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?","Opposition","No",
90,"Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch …","den Bundesrat.","Yes",
90,"Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch …","die Bundesversammlung.","No",
90,"Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch …","den Bundestag.","No",
90,"Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch …","die Bundesregierung.","No",
91,"In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird …","schwieriger, wenn sich dadurch die Mehrheit im Bundestag ändert.","No",
91,"In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird …","leichter, wenn dadurch neue Parteien in den Bundesrat kommen.","No",
91,"In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird …","schwieriger, wenn dadurch die Mehrheit im Bundesrat verändert wird.","Yes",
91,"In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird …","leichter, wenn es sich um ein reiches Bundesland handelt.","No",
92,"Was bedeutet die Abkürzung CSU in Deutschland?","Christlich Sichere Union","No",
92,"Was bedeutet die Abkürzung CSU in Deutschland?","Christlich Süddeutsche Union","No",
92,"Was bedeutet die Abkürzung CSU in Deutschland?","Christlich Sozialer Unternehmerverband","No",
92,"Was bedeutet die Abkürzung CSU in Deutschland?","Christlich Soziale Union","Yes",
93,"Je mehr „Zweitstimmen“ eine Partei bei einer Bundestagswahl bekommt, desto …","mehr Sitze erhält die Partei im Parlament.","Yes",
93,"Je mehr „Zweitstimmen“ eine Partei bei einer Bundestagswahl bekommt, desto …","weniger Erststimmen kann sie haben.","No",
93,"Je mehr „Zweitstimmen“ eine Partei bei einer Bundestagswahl bekommt, desto …","mehr Direktkandidaten der Partei ziehen ins Parlament ein.","No",
93,"Je mehr „Zweitstimmen“ eine Partei bei einer Bundestagswahl bekommt, desto …","größer ist das Risiko, eine Koalition bilden zu müssen.","No",
94,"Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?",16,"No",
94,"Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?",18,"Yes",
94,"Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?",21,"No",
94,"Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?",23,"No",
95,"Was gilt für die meisten Kinder in Deutschland?","Wahlpflicht","No",
95,"Was gilt für die meisten Kinder in Deutschland?","Schulpflicht","Yes",
95,"Was gilt für die meisten Kinder in Deutschland?","Schweigepflicht","No",
95,"Was gilt für die meisten Kinder in Deutschland?","Religionspflicht","No",
96,"Wie kann jemand, der den Holocaust leugnet, bestraft werden?","Kürzung sozialer Leistungen","No",
96,"Wie kann jemand, der den Holocaust leugnet, bestraft werden?","bis zu 100 Sozialstunden","No",
96,"Wie kann jemand, der den Holocaust leugnet, bestraft werden?","gar nicht, Holocaustleugnung ist erlaubt","No",
96,"Wie kann jemand, der den Holocaust leugnet, bestraft werden?","mit Freiheitsstrafe bis zu fünf Jahren oder mit Geldstrafe","Yes",
97,"Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?","Sozialhilfe","No",
97,"Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?","Kindergeld","No",
97,"Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?","Wohngeld","No",
97,"Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?","Sozialversicherung","Yes",
98,"Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, ...","kann die Regierung ihre Mehrheit verlieren.","Yes",
98,"Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, ...","dürfen sie nicht mehr an den Sitzungen des Parlaments teilnehmen.","No",
98,"Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, ...","muss der Bundespräsident / die Bundespräsidentin zuvor sein / ihr Einverständnis geben.","No",
98,"Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, ...","dürfen die Wähler / Wählerinnen dieser Abgeordneten noch einmal wählen.","No",
99,"Wer bezahlt in Deutschland die Sozialversicherungen?","nur Arbeitnehmer / Arbeitnehmerinnen","No",
99,"Wer bezahlt in Deutschland die Sozialversicherungen?","alle Staatsangehörigen","No",
99,"Wer bezahlt in Deutschland die Sozialversicherungen?","nur Arbeitgeber / Arbeitgeberinnen","No",
99,"Wer bezahlt in Deutschland die Sozialversicherungen?","Arbeitgeber / Arbeitgeberinnen und Arbeitnehmer / Arbeitnehmerinnen","Yes",
100,"Was gehört nicht zur gesetzlichen Sozialversicherung?","die gesetzliche Rentenversicherung","No",
100,"Was gehört nicht zur gesetzlichen Sozialversicherung?","die Lebensversicherung","Yes",
100,"Was gehört nicht zur gesetzlichen Sozialversicherung?","die Arbeitslosenversicherung","No",
100,"Was gehört nicht zur gesetzlichen Sozialversicherung?","die Pflegeversicherung","No",
101,"Gewerkschaften sind Interessenverbände der …","Jugendlichen.","No",
101,"Gewerkschaften sind Interessenverbände der …","Arbeitnehmer und Arbeitnehmerinnen.","Yes",
101,"Gewerkschaften sind Interessenverbände der …","Rentner und Rentnerinnen.","No",
101,"Gewerkschaften sind Interessenverbände der …","Arbeitgeber und Arbeitgeberinnen.","No",
102,"Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem …","Bundesadler","No",
102,"Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem …","Bundesverdienstkreuz","Yes",
102,"Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem …","Vaterländischen Verdienstorden","No",
102,"Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem …","Ehrentitel „Held der Deutschen Demokratischen Republik“","No",
103,"Was wird in Deutschland als „Ampelkoalition“ bezeichnet? Die Zusammenarbeit …","der Bundestagsfraktionen von CDU und CSU","No",
103,"Was wird in Deutschland als „Ampelkoalition“ bezeichnet? Die Zusammenarbeit …","von SPD, FDP und Bündnis 90/Die Grünen in einer Regierung","Yes",
103,"Was wird in Deutschland als „Ampelkoalition“ bezeichnet? Die Zusammenarbeit …","von CSU, Die LINKE und Bündnis 90/Die Grünen in einer Regierung","No",
103,"Was wird in Deutschland als „Ampelkoalition“ bezeichnet? Die Zusammenarbeit …","der Bundestagsfraktionen von CDU und SPD","No",
104,"Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?","Die Frau ist lange krank und arbeitsunfähig.","No",
104,"Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?","Die Frau kam oft zu spät zur Arbeit.","No",
104,"Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?","Die Frau erledigt private Sachen während der Arbeitszeit.","No",
104,"Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?","Die Frau bekommt ein Kind und ihr Chef weiß das.","Yes",
105,"Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen in Deutschland?","Sie helfen alten Menschen bei der Stimmabgabe in der Wahlkabine.","No",
105,"Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen in Deutschland?","Sie schreiben die Wahlbenachrichtigungen vor der Wahl.","No",
105,"Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen in Deutschland?","Sie geben Zwischenergebnisse an die Medien weiter.","No",
105,"Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen in Deutschland?","Sie zählen die Stimmen nach dem Ende der Wahl.","Yes",
106,"In Deutschland helfen ehrenamtliche Wahlhelfer und Wahlhelferinnen bei den Wahlen. Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen?","Sie helfen Kindern und alten Menschen beim Wählen.","No",
106,"In Deutschland helfen ehrenamtliche Wahlhelfer und Wahlhelferinnen bei den Wahlen. Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen?","Sie schreiben Karten und Briefe mit der Angabe des Wahllokals.","No",
106,"In Deutschland helfen ehrenamtliche Wahlhelfer und Wahlhelferinnen bei den Wahlen. Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen?","Sie geben Zwischenergebnisse an Journalisten weiter.","No",
106,"In Deutschland helfen ehrenamtliche Wahlhelfer und Wahlhelferinnen bei den Wahlen. Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen?","Sie zählen die Stimmen nach dem Ende der Wahl.","Yes",
107,"Für wie viele Jahre wird der Bundestag in Deutschland gewählt?","2 Jahre","No",
107,"Für wie viele Jahre wird der Bundestag in Deutschland gewählt?","4 Jahre","Yes",
107,"Für wie viele Jahre wird der Bundestag in Deutschland gewählt?","6 Jahre","No",
107,"Für wie viele Jahre wird der Bundestag in Deutschland gewählt?","8 Jahre","No",
108,"Bei einer Bundestagswahl in Deutschland darf jeder wählen, der …","in der Bundesrepublik Deutschland wohnt und wählen möchte.","No",
108,"Bei einer Bundestagswahl in Deutschland darf jeder wählen, der …","Bürger / Bürgerin der Bundesrepublik Deutschland ist und mindestens 18 Jahre alt ist.","Yes",
108,"Bei einer Bundestagswahl in Deutschland darf jeder wählen, der …","sseit mindestens 3 Jahren in der Bundesrepublik Deutschland lebt.","No",
108,"Bei einer Bundestagswahl in Deutschland darf jeder wählen, der …","Bürger / Bürgerin der Bundesrepublik Deutschland ist und mindestens 21 Jahre alt ist.","No",
109,"Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?","alle drei Jahre","No",
109,"Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?","alle vier Jahre","Yes",
109,"Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?","alle fünf Jahre","No",
109,"Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?","alle sechs Jahre","No",
110,"Für wie viele Jahre wird der Bundestag in Deutschland gewählt?","2 Jahre","No",
110,"Für wie viele Jahre wird der Bundestag in Deutschland gewählt?","3 Jahre","No",
110,"Für wie viele Jahre wird der Bundestag in Deutschland gewählt?","4 Jahre","Yes",
110,"Für wie viele Jahre wird der Bundestag in Deutschland gewählt?","5 Jahre","No",
111,"Welche Handlung mit Bezug auf den Staat Israel ist in Deutschland verboten?","Die Politik Israels öffentlich kritisieren.","No",
111,"Welche Handlung mit Bezug auf den Staat Israel ist in Deutschland verboten?","Das Aufhängen einer israelischen Flagge auf dem Privatgrundstück.","No",
111,"Welche Handlung mit Bezug auf den Staat Israel ist in Deutschland verboten?","Eine Diskussion über die Politik Israels.","No",
111,"Welche Handlung mit Bezug auf den Staat Israel ist in Deutschland verboten?","Der öffentliche Aufruf zur Vernichtung Israels.","Yes",
112,"Die Wahlen in Deutschland sind …","spezial.","No",
112,"Die Wahlen in Deutschland sind …","geheim.","Yes",
112,"Die Wahlen in Deutschland sind …","berufsbezogen.","No",
112,"Die Wahlen in Deutschland sind …","geschlechtsabhängig.","No",
113,"Wahlen in Deutschland gewinnt die Partei, die …","die meisten Stimmen bekommt.","Yes",
113,"Wahlen in Deutschland gewinnt die Partei, die …","die meisten Männer mehrheitlich gewählt haben.","No",
113,"Wahlen in Deutschland gewinnt die Partei, die …","die meisten Stimmen bei den Arbeitern / Arbeiterinnen bekommen hat.","No",
113,"Wahlen in Deutschland gewinnt die Partei, die …","die meisten Erststimmen für ihren Kanzlerkandidaten / ihre Kanzlerkandidatin erhalten hat.","No",
114,"An demokratischen Wahlen in Deutschland teilzunehmen ist …","eine Pflicht.","No",
114,"An demokratischen Wahlen in Deutschland teilzunehmen ist …","ein Recht.","Yes",
114,"An demokratischen Wahlen in Deutschland teilzunehmen ist …","ein Zwang.","No",
114,"An demokratischen Wahlen in Deutschland teilzunehmen ist …","eine Last.","No",
115,"Was bedeutet „aktives Wahlrecht“ in Deutschland?","Man kann gewählt werden.","No",
115,"Was bedeutet „aktives Wahlrecht“ in Deutschland?","Man muss wählen gehen.","No",
115,"Was bedeutet „aktives Wahlrecht“ in Deutschland?","Man kann wählen.","Yes",
115,"Was bedeutet „aktives Wahlrecht“ in Deutschland?","Man muss zur Auszählung der Stimmen gehen.","No",
116,"Wenn Sie bei einer Bundestagswahl in Deutschland wählen dürfen, heißt das …","aktive Wahlkampagne.","No",
116,"Wenn Sie bei einer Bundestagswahl in Deutschland wählen dürfen, heißt das …","aktives Wahlverfahren.","No",
116,"Wenn Sie bei einer Bundestagswahl in Deutschland wählen dürfen, heißt das …","aktiver Wahlkampf.","No",
116,"Wenn Sie bei einer Bundestagswahl in Deutschland wählen dürfen, heißt das …","aktives Wahlrecht.","Yes",
117,"Wie viel Prozent der Zweitstimmen müssen Parteien mindestens bekommen, um in den Deutschen Bundestag gewählt zu werden?","3.00%","No",
117,"Wie viel Prozent der Zweitstimmen müssen Parteien mindestens bekommen, um in den Deutschen Bundestag gewählt zu werden?","4.00%","No",
117,"Wie viel Prozent der Zweitstimmen müssen Parteien mindestens bekommen, um in den Deutschen Bundestag gewählt zu werden?","5.00%","Yes",
117,"Wie viel Prozent der Zweitstimmen müssen Parteien mindestens bekommen, um in den Deutschen Bundestag gewählt zu werden?","6.00%","No",
118,"Wer darf bei den rund 40 jüdischen Makkabi-Sportvereinen Mitglied werden?","nur Deutsche","No",
118,"Wer darf bei den rund 40 jüdischen Makkabi-Sportvereinen Mitglied werden?","nur Israelis","No",
118,"Wer darf bei den rund 40 jüdischen Makkabi-Sportvereinen Mitglied werden?","nur religiöse Menschen","No",
118,"Wer darf bei den rund 40 jüdischen Makkabi-Sportvereinen Mitglied werden?","alle Menschen","Yes",
119,"Wahlen in Deutschland sind frei. Was bedeutet das?","Alle verurteilten Straftäter / Straftäterinnen dürfen nicht wählen.","No",
119,"Wahlen in Deutschland sind frei. Was bedeutet das?","Wenn ich wählen gehen möchte, muss mein Arbeitgeber / meine Arbeitgeberin mir frei geben.","No",
119,"Wahlen in Deutschland sind frei. Was bedeutet das?","Jede Person kann ohne Zwang entscheiden, ob sie wählen möchte und wen sie wählen möchte.","Yes",
119,"Wahlen in Deutschland sind frei. Was bedeutet das?","Ich kann frei entscheiden, wo ich wählen gehen möchte.","No",
120,"Das Wahlsystem in Deutschland ist ein …","Zensuswahlrecht.","No",
120,"Das Wahlsystem in Deutschland ist ein …","Dreiklassenwahlrecht.","No",
120,"Das Wahlsystem in Deutschland ist ein …","Mehrheits- und Verhältniswahlrecht.","Yes",
120,"Das Wahlsystem in Deutschland ist ein …","allgemeines Männerwahlrecht.","No",
121,"Eine Partei möchte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an Wählerstimmen haben. Das heißt …","5 %-Hürde.","Yes",
121,"Eine Partei möchte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an Wählerstimmen haben. Das heißt …","Zulassungsgrenze.","No",
121,"Eine Partei möchte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an Wählerstimmen haben. Das heißt …","Basiswert.","No",
121,"Eine Partei möchte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an Wählerstimmen haben. Das heißt …","Richtlinie.","No",
122,"Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind …","frei, gleich, geheim.","Yes",
122,"Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind …","offen, sicher, frei.","No",
122,"Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind …","geschlossen, gleich, sicher.","No",
122,"Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind …","sicher, offen, freiwillig.","No",
123,"Was ist in Deutschland die „5 %-Hürde“?","Abstimmungsregelung im Bundestag für kleine Parteien","No",
123,"Was ist in Deutschland die „5 %-Hürde“?","Anwesenheitskontrolle im Bundestag für Abstimmungen","No",
123,"Was ist in Deutschland die „5 %-Hürde“?","Mindestanteil an Wählerstimmen, um ins Parlament zu kommen","Yes",
123,"Was ist in Deutschland die „5 %-Hürde“?","Anwesenheitskontrolle im Bundesrat für Abstimmungen","No",
124,"Die Bundestagswahl in Deutschland ist die Wahl …","des Bundeskanzlers / der Bundeskanzlerin.","No",
124,"Die Bundestagswahl in Deutschland ist die Wahl …","der Parlamente der Länder.","No",
124,"Die Bundestagswahl in Deutschland ist die Wahl …","des Parlaments für Deutschland.","Yes",
124,"Die Bundestagswahl in Deutschland ist die Wahl …","des Bundespräsidenten / der Bundespräsidentin.","No",
125,"In einer Demokratie ist eine Funktion von regelmäßigen Wahlen, …","die Bürger und Bürgerinnen zu zwingen, ihre Stimme abzugeben.","No",
125,"In einer Demokratie ist eine Funktion von regelmäßigen Wahlen, …","nach dem Willen der Wählermehrheit den Wechsel der Regierung zu ermöglichen.","Yes",
125,"In einer Demokratie ist eine Funktion von regelmäßigen Wahlen, …","im Land bestehende Gesetze beizubehalten.","No",
125,"In einer Demokratie ist eine Funktion von regelmäßigen Wahlen, …","den Armen mehr Macht zu geben.","No",
